#OTU ID,19.0,20.0,19.0 C,20.0 C
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;uncultured bacterium,4,0,11,5
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;ADurb.Bin408;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;uncultured bacterium,0,19,0,10
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured Bacteroidetes bacterium;uncultured Bacteroidetes bacterium,0,2008,0,376
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;uncultured prokaryote;uncultured prokaryote,10,102,0,465
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae,29,56,102,21
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group;Ambiguous_taxa;Ambiguous_taxa,127,22,51,12
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group;uncultured bacterium;uncultured bacterium,5,32,5,16
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;NS11-12 marine group,42,16,15,3
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;S15A-MN91;uncultured bacterium;uncultured bacterium,0,0,5,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;ST-12K33;uncultured organism;uncultured organism,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;ST-12K33,0,0,0,12
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter,30,27,7,11
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Solitalea;uncultured bacterium,30,72,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17;metagenome;metagenome,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales;env.OPS 17,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia;Sphingobacteriales,0,0,0,0
Bacteria;Bacteroidetes;Bacteroidia,0,0,0,0
Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium;Ambiguous_taxa,0,249,4,85
Bacteria;Bacteroidetes;Chlorobia;Chlorobiales;Chlorobiaceae;Chlorobium,0,0,0,0
Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales;BSV40;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales;Ignavibacteriaceae;Ignavibacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales;Melioribacteraceae;IheB3-7;uncultured bacterium,0,21,0,0
Bacteria;Bacteroidetes;Ignavibacteria;Ignavibacteriales;PHOS-HE36;uncultured bacterium;uncultured bacterium,0,3,10,1932
Bacteria;Bacteroidetes;Ignavibacteria;Kryptoniales;BSV26;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Bacteroidetes;Ignavibacteria;Kryptoniales;BSV26,0,68,0,3
Bacteria;Bacteroidetes;Ignavibacteria;OPB56;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,91,0,58
